Wavelength_and_Radius_ranges_are_INCLUSIVE_from_1st_to_last_point
Radius is varied over rows, wavelength is varied over columns
Qext 	0 	7	7	7	7	7	7	7
0	8.5761E-01	1.2395E+00	1.5444E+00	1.7629E+00	1.9121E+00	2.0196E+00	2.1062E+00	2.1808E+00
1	8.5413E-01	1.2423E+00	1.5586E+00	1.7887E+00	1.9450E+00	2.0545E+00	2.1400E+00	2.2130E+00
2	8.4050E-01	1.2305E+00	1.5558E+00	1.7975E+00	1.9628E+00	2.0761E+00	2.1618E+00	2.2337E+00
3	8.2600E-01	1.2160E+00	1.5482E+00	1.8006E+00	1.9751E+00	2.0932E+00	2.1797E+00	2.2509E+00
4	8.0313E-01	1.1891E+00	1.5256E+00	1.7881E+00	1.9731E+00	2.0981E+00	2.1871E+00	2.2585E+00
5	7.8281E-01	1.1631E+00	1.4999E+00	1.7683E+00	1.9612E+00	2.0923E+00	2.1843E+00	2.2563E+00
6	7.6754E-01	1.1448E+00	1.4846E+00	1.7609E+00	1.9631E+00	2.1011E+00	2.1964E+00	2.2689E+00
7	7.5724E-01	1.1317E+00	1.4722E+00	1.7531E+00	1.9615E+00	2.1049E+00	2.2030E+00	2.2761E+00
8	7.4315E-01	1.1134E+00	1.4541E+00	1.7398E+00	1.9556E+00	2.1056E+00	2.2077E+00	2.2821E+00
9	7.2837E-01	1.0942E+00	1.4350E+00	1.7256E+00	1.9493E+00	2.1068E+00	2.2138E+00	2.2900E+00
10	7.1403E-01	1.0751E+00	1.4149E+00	1.7092E+00	1.9398E+00	2.1046E+00	2.2167E+00	2.2954E+00
11	6.9453E-01	1.0480E+00	1.3844E+00	1.6808E+00	1.9178E+00	2.0905E+00	2.2091E+00	2.2914E+00
12	6.7312E-01	1.0173E+00	1.3479E+00	1.6434E+00	1.8846E+00	2.0642E+00	2.1893E+00	2.2762E+00
13	6.4884E-01	9.8228E-01	1.3054E+00	1.5989E+00	1.8436E+00	2.0300E+00	2.1625E+00	2.2548E+00
14	6.1956E-01	9.3937E-01	1.2521E+00	1.5407E+00	1.7867E+00	1.9792E+00	2.1195E+00	2.2186E+00
15	5.8644E-01	8.8984E-01	1.1886E+00	1.4680E+00	1.7113E+00	1.9071E+00	2.0541E+00	2.1603E+00
16	5.5702E-01	8.4485E-01	1.1289E+00	1.3968E+00	1.6336E+00	1.8284E+00	1.9786E+00	2.0900E+00
17	5.2703E-01	7.9840E-01	1.0662E+00	1.3197E+00	1.5465E+00	1.7367E+00	1.8872E+00	2.0018E+00
18	4.9219E-01	7.4432E-01	9.9253E-01	1.2281E+00	1.4409E+00	1.6227E+00	1.7704E+00	1.8864E+00
19	4.4706E-01	6.7477E-01	8.9841E-01	1.1112E+00	1.3055E+00	1.4749E+00	1.6165E+00	1.7316E+00
20	3.9268E-01	5.9095E-01	7.8455E-01	9.6858E-01	1.1377E+00	1.2878E+00	1.4169E+00	1.5257E+00
21	3.2008E-01	4.7964E-01	6.3394E-01	7.7988E-01	9.1455E-01	1.0359E+00	1.1433E+00	1.2375E+00
22	2.4440E-01	3.6468E-01	4.7986E-01	5.8822E-01	6.8850E-01	7.8015E-01	8.6335E-01	9.3891E-01
23	1.6987E-01	2.5260E-01	3.3138E-01	4.0553E-01	4.7490E-01	5.3976E-01	6.0069E-01	6.5847E-01
24	1.4022E-01	2.0778E-01	2.7187E-01	3.3250E-01	3.9023E-01	4.4589E-01	5.0039E-01	5.5455E-01
25	1.5499E-01	2.2844E-01	2.9766E-01	3.6360E-01	4.2778E-01	4.9188E-01	5.5724E-01	6.2467E-01
26	1.3463E-01	1.9861E-01	2.6077E-01	3.2361E-01	3.8978E-01	4.6130E-01	5.3918E-01	6.2340E-01
27	1.2643E-01	1.8735E-01	2.4907E-01	3.1541E-01	3.8971E-01	4.7390E-01	5.6825E-01	6.7161E-01
28	1.7456E-01	2.5645E-01	3.3717E-01	4.2164E-01	5.1401E-01	6.1647E-01	7.2897E-01	8.4973E-01
29	2.6332E-01	3.8160E-01	4.9269E-01	6.0318E-01	7.1878E-01	8.4243E-01	9.7407E-01	1.1114E+00
